nci,dependencia_id,nombre_unidad_administrativa,inactivo,clave_unica,orden
1325,176,SECRETARIA DE LA CONTRALORÍA,,21800000000000L,2
9710,176,"OFICINA DE LA O DEL C. SECRETARIA, O",,218A00000000000,4
6796,176,SECRETARIA PARTICULAR,,21800001000000S,6
101527,176,"UNIDAD DE PLANEACIÓN, SEGUIMIENTO Y EVALUACIÓN",,21800007000000S,8
10228,176,DIRECCION DE PLANEACION Y DESARROLLO ADMINISTRATIVO,,21800007010000S,10
6799,176,DIRECCION DE EVALUACIÓN,,21800007020000S,12
10231,176,SUBDIRECCIÓN DE INFORMACIÓN,,21800007020100S,14
6444,176,ÓRGANO INTERNO DE CONTROL,,21800004000000S,16
16164,176,DIRECCION DE AUDITORIA,,21800004010000S,18
16165,176,DIRECCION DE QUEJAS,,21800004020000S,20
16166,176,DIRECCION DE RESPONSABILIDADES,,21800004030000S,22
101528,176,"COORDINACIÓN JURÍDICA, DE IGUALDAD DE GÉNERO Y ERRADICACIÓN DE LA VIOLENCIA",,21800008000000S,24
16160,176,DIRECCION DE NORMATIVIDAD Y APOYO JURIDICO,,21800008010000S,26
101529,176,DIRECCIÓN DE GÉNERO Y ERRADICACIÓN DE LA VIOLENCIA,,21800008020000S,28
6447,176,COORDINACIÓN ADMINISTRATIVA,,21800005000000S,30
101530,176,DIRECCIÓN DE ADMINISTRACIÓN DE RECURSOS,,21800005010000S,32
101531,176,SUBDIRECCIÓN DE PERSONAL,,21800005010100S,34
101532,176,SUBDIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,,21800005010200S,36
101533,176,DIRECCIÓN DE CONTABILIDAD Y CONTROL PRESUPUESTAL,,21800005020000S,38
101534,176,DEPARTAMENTO DE GESTIÓN DOCUMENTAL Y ADMINISTRACIÓN DE ARCHIVOS,,21800005000001S,40
101535,176,COORDINACIÓN DE ESTRATEGIA DIGITAL,,21800009000000S,42
101536,176,SUBDIRECCIÓN DE DESARROLLO DE APLICACIONES DIGITALES,,21800009000100S,44
101537,176,SUBDIRECCIÓN DE SEGURIDAD DE LA INFORMACIÓN,,21800009000200S,46
101538,176,SUBSECRETARÍA DE CONTROL Y AUDITORÍA,,21802000000000L,48
10252,176,"OFICINA DE LA O DEL C. SUBSECRETARIA, O",,21802A000000000,50
8933,176,DELEGACIÓN ADMINISTRATIVA,,21802000000100L,52
6977,176,LABORATORIO DE ANÁLISIS Y VERIFICACIÓN DE CALIDAD DE MATERIALES DE CONSTRUCCIÓN,,21802000000200L,54
101539,176,DIRECCIÓN DE AUDITORÍA Y CONTROL A OBRA PÚBLICA,,21802000010000L,56
101540,176,SUBDIRECCIÓN  DE AUDITORÍA DE OBRA PÚBLICA I,,21802000010100L,58
101541,176,SUBDIRECCIÓN  DE AUDITORÍA DE OBRA PÚBLICA II,,21802000010200L,60
101542,176,DIRECCIÓN DE AUDITORÍA Y CONTROL DE PROGRAMAS,,21802000020000L,62
101543,176,SUBDIRECCIÓN  DE AUDITORÍA DE PROGRAMAS I,,21802000020100L,64
101544,176,SUBDIRECCIÓN  DE AUDITORÍA DE PROGRAMAS II,,21802000020200L,66
101545,176,SUBDIRECCIÓN  DE AUDITORÍA DE PROGRAMAS III,,21802000020300L,68
101546,176,SUBDIRECCIÓN  DE AUDITORÍA DE PROGRAMAS IV,,21802000020400L,70
101547,176,DIRECCIÓN DE AUDITORÍAS ESPECIALES Y EXTERNAS,,21802000030000L,72
101548,176,SUBDIRECCIÓN DE AUDITORIAS ESPECIALES Y EXTERNAS I,,21802000030100L,74
101549,176,SUBDIRECCIÓN DE AUDITORIAS ESPECIALES Y EXTERNAS II,,21802000030200L,76
101550,176,DIRECCIÓN DE COORDINACIÓN Y ENLACE DE ÓRGANO INTERNO DE CONTROL,,21802000040000L,78
101551,176,DIRECCIÓN DE SEGUIMIENTO Y APOYO TÉCNICO,,21802000050000L,80
101552,176,SUBSECRETARÍA DE RESPONSABILIDADES ADMINISTRATIVAS,,21803000000000L,82
101553,176,"OFICINA DE LA O DEL C. SUBSECRETARIA, O",,21803A000000000,84
7634,176,DELEGACION ADMINISTRATIVA,,21803000000100L,86
101554,176,DIRECCIÓN DE INVESTIGACIÓN,,21803000010000L,88
101555,176,SUBDIRECCIÓN DE INVESTIGACIÓN ESPECIALIZADA EN DENUNCIAS Y SISTEMAS,,21803000010100L,90
101556,176,SUBDIRECCIÓN DE INVESTIGACIÓN ESPECIALIZADA EN OBRA PÚBLICA,,21803000010200L,92
101557,176,SUBDIRECCIÓN DE INVESTIGACIÓN ESPECIALIZADA EN PROGRAMAS,,21803000010300L,94
101558,176,SUBDIRECCIÓN DE INVESTIGACIÓN DE OFICIO Y ANÁLISIS,,21803000010400L,96
101559,176,SUBDIRECCIÓN DE INVESTIGACIÓN ESPECIALIZADA EN AUDITORIAS ESPECIALES Y EXTERNAS,,21803000010500L,98
101560,176,SUBDIRECCIÓN DE INVESTIGACIÓN ESPECIALIZADA EN DENUNCIAS,,21803000010600L,100
